Soil Health,Count,"Soil Health, No India",Count,Regenerative Agriculture,Count
health card,35104,improv soil,5242,farmer rancher,11305
improv soil,14692,cover crop,5050,agricultur carbon,6462
cover crop,10897,climat chang,2110,carbon farm,6409
climat chang,5705,soil healthi,1563,just like,6285
card scheme,5371,build soil,1374,green new,6069
card distribut,4057,water qualiti,1317,new deal,6069
health soil,4025,field day,1218,life farmer,5837
product soil,3632,feed world,1130,climat chang,5630
soil healthi,3569,can help,1088,keep land,5564
water qualiti,3173,organ matter,1025,farm keep,5548
build soil,3169,key feed,985,key lead,5547
crore soil,3101,produc healthi,982,hospit life,5547
farm product,2985,healthi crop,937,land hospit,5547
produc healthi,2856,build healthi,901,rancher come,5545
lakh soil,2810,crop livestock,837,congress support,5542
healthi crop,2801,real key,821,rancher know,5541
distribut soil,2709,soil real,821,know key,5540
farmer can,2706,restor soil,815,lead green,5540
can help,2703,talk soil,784,urg congress,5540
organ matter,2572,join us,768,come urg,5540
